cores,arm,cases,core_abs_pct,mae_L,worst_core_pct,makespan_abs_pct,p999_L,oracle_coverage
4,fixedlat,8,27.492089760556446,0.5976214472026882,40.24390818946582,38.49877139260701,5.974501342593078,0.8132931557361791
4,md1,8,22.418485019080293,0.5569259737420791,32.277202410478765,30.140732798089093,6.143666492302218,0.7955324200198246
4,wmg1,8,28.541186609077283,0.6278162980143613,41.25548843243244,39.281671074532625,6.2540358854675535,0.7936638045959123
4,mess,8,4.800559700059077,0.4610252710734385,11.184338215713971,1.5222093854883907,5.712301863739584,0.804991740913955
4,astra_single_core,8,4.706319915751923,0.5267490349845041,9.38780209265133,5.281902026279986,5.481118786705322,0.8307482765507801
4,astra_multicore,8,3.8423797106373363,0.5250950971192264,8.007388123180403,4.318473634151727,5.458131331930675,0.8327213477795677
4,deepseek_single_core,8,4.351135830096371,0.5325664398041416,8.243146154942595,4.725604891510542,5.2618760732587955,0.8201668126755668
4,deepseek_multicore,8,4.15632260855805,0.5194898227945057,7.474172678090236,4.507634780636031,5.315431400657847,0.8190393743174793
8,fixedlat,8,26.020686718004317,0.6471073703524819,43.76307466630752,39.57363507573613,5.26856299765271,0.8905939906547216
8,md1,8,17.193215348326476,0.6363482170751642,33.590347548709275,27.746765433630415,5.39626321145119,0.8563942040859578
8,wmg1,8,25.305295970764565,0.6458278024439579,42.417207348139854,38.10369992016294,5.439368427686665,0.8798766120277786
8,mess,8,6.442962644284883,0.5745343325679002,19.953215854781885,11.562830457981143,5.190457494384168,0.8685646940885237
8,astra_single_core,8,6.6636405912498144,0.5967321751263328,12.306024583783904,8.982467352616098,4.717353250973183,0.9060862471042698
8,astra_multicore,8,4.576493859834802,0.6068097383146316,11.209997013431623,7.618396041938663,4.740821498250136,0.9055972984107803
8,deepseek_single_core,8,8.698317360987529,0.6495504935235358,14.016401647500421,4.852544044585472,4.580573018137513,0.8773441783729822
8,deepseek_multicore,8,5.506034445423838,0.6093217981478327,11.564668086637282,6.728780458431161,4.750454399047386,0.8778788145430854
1,fixedlat,24,23.880890545344517,0.5161690823006163,23.880890545344517,23.880890545344517,3.5919064480687592,0.9315075001297867
1,md1,24,22.701249187605146,0.5305166665573668,22.701249187605146,22.701249187605146,3.775174058766923,0.9255488223564022
1,wmg1,24,24.4379080476504,0.5569291711366561,24.4379080476504,24.4379080476504,3.8254271814086054,0.9250946475806524
1,mess,24,8.566498271889259,0.4756378677619062,8.566498271889259,8.566498271889259,3.172408563148341,0.9254047985481592
1,astra_single_core,24,1.5395424307536392,0.20097161117230208,1.5395424307536392,1.5395424307536392,4.302935661226438,0.9387580914046337
1,astra_multicore,24,1.5468202147759396,0.19964643564585813,1.5468202147759396,1.5468202147759396,4.270899634530564,0.9387885562113408
1,deepseek_single_core,24,0.6788657490402975,0.19666880257128716,0.6788657490402975,0.6788657490402975,3.1024300460776026,0.9374369136601932
1,deepseek_multicore,24,0.7476950817925223,0.19949927911850915,0.7476950817925223,0.7476950817925223,3.1348047310519203,0.9374372437967811
