arm,read_ratio,nop_counter,streaming_only,status,throughput_GBps,probe_latency_ns,reason
oracle,100,1,False,complete,19.23078753319896,212.67118079999997,
oracle,100,33,False,complete,19.23038950912039,109.5538912,
oracle,100,36,False,complete,18.37948957932913,49.7810144,
oracle,100,38,False,complete,17.485249435364622,49.5682304,
oracle,100,41,False,complete,16.307778002112496,49.291382399999996,
oracle,100,44,False,complete,15.303596422251118,48.5653792,
oracle,100,47,False,complete,14.402151363489175,48.897097599999995,
oracle,100,50,False,complete,13.619445527825164,48.7937216,
oracle,100,52,False,complete,13.146042044065121,48.7918912,
oracle,100,55,False,complete,12.530823965556474,47.6888256,
oracle,100,58,False,complete,11.932168209056666,48.396192,
oracle,100,65,False,complete,10.792054076453574,48.30987199999999,
oracle,100,70,False,complete,10.123663184887675,48.0287392,
oracle,100,80,False,complete,9.044626961878539,47.325824,
oracle,100,90,False,complete,8.182827995257595,47.5680608,
oracle,100,100,False,complete,7.497574486072924,47.62368,
oracle,100,125,False,complete,6.281886297042724,47.099187199999996,
oracle,100,150,False,complete,5.4596411673476455,47.150896,
oracle,100,200,False,complete,4.445230207094224,46.7700896,
oracle,100,300,False,complete,3.4234688539324303,46.6408384,
oracle,100,500,False,complete,2.614435332953445,46.2563712,
oracle,100,750,False,complete,2.2047215537175417,46.233824,
oracle,100,1000,False,complete,2.0031187534811545,46.116844799999996,
oracle,100,2000,False,complete,1.7017482336886345,45.908511999999995,
oracle,100,5000,False,complete,1.5204193959738859,45.8020576,
oracle,100,10000,False,complete,1.4595984817938856,45.7769312,
oracle,90,1,False,complete,18.74512325488446,233.47613119999997,
oracle,90,33,False,complete,18.785071178732217,189.7636416,
oracle,90,36,False,complete,18.11106689574706,62.683046399999995,
oracle,90,38,False,complete,17.237568459588694,61.168307199999994,
oracle,90,41,False,complete,16.083698976906003,59.35903999999999,
oracle,90,44,False,complete,15.088059003940911,57.89114239999999,
oracle,90,47,False,complete,14.210009861861208,57.193219199999994,
oracle,90,50,False,complete,13.443049061198352,56.2224416,
oracle,90,52,False,complete,12.991333307487789,55.137763199999995,
oracle,90,55,False,complete,12.378127416415388,53.678643199999996,
oracle,90,58,False,complete,11.757860651665961,55.657430399999996,
oracle,90,65,False,complete,10.650982269353696,54.068060800000005,
oracle,90,70,False,complete,9.996799885789443,53.078064,
oracle,90,80,False,complete,8.933579890489199,51.558416,
oracle,90,90,False,complete,8.100542924314183,50.67192,
oracle,90,100,False,complete,7.422284206378826,50.4512736,
oracle,90,125,False,complete,6.222845894837142,49.23376639999999,
oracle,90,150,False,complete,5.413047413863427,48.8384,
oracle,90,200,False,complete,4.411939615522776,47.9440416,
oracle,90,300,False,complete,3.4087348338073795,47.1503552,
oracle,90,500,False,complete,2.605683497594521,46.54436799999999,
oracle,90,750,False,complete,2.2015251026824814,46.3416512,
oracle,90,1000,False,complete,2.002766134286059,46.12816,
oracle,90,2000,False,complete,1.7007263504277763,45.943622399999995,
oracle,90,5000,False,complete,1.5195405910177864,45.832758399999996,
oracle,90,10000,False,complete,1.4598041051956652,45.770483199999994,
oracle,80,1,False,complete,18.28912386790259,259.4520864,
oracle,80,33,False,complete,18.41718031382276,214.39100800000003,
oracle,80,36,False,complete,17.997701457100042,70.62835519999999,
oracle,80,38,False,complete,17.149311865606144,66.873872,
oracle,80,41,False,complete,15.981745505627421,65.6740864,
oracle,80,44,False,complete,14.975793409593814,64.5397376,
oracle,80,47,False,complete,14.09654524777837,63.613388799999996,
oracle,80,50,False,complete,13.318726282470402,63.11614399999999,
oracle,80,52,False,complete,12.858025751690072,62.3144704,
oracle,80,55,False,complete,12.232103187208672,61.1473824,
oracle,80,58,False,complete,11.665657669289637,60.4533696,
oracle,80,65,False,complete,10.552354137283274,58.844988799999996,
oracle,80,70,False,complete,9.907879012072604,57.231824,
oracle,80,80,False,complete,8.84139345390465,55.6827648,
oracle,80,90,False,complete,8.01553349750535,54.331264000000004,
oracle,80,100,False,complete,7.351595791480029,53.42879359999999,
oracle,80,125,False,complete,6.155251068397464,51.9319424,
oracle,80,150,False,complete,5.364524920732405,50.7081952,
oracle,80,200,False,complete,4.3820349877616644,49.0379968,
oracle,80,300,False,complete,3.38711594897887,47.9123424,
oracle,80,500,False,complete,2.596916967173142,46.8444288,
oracle,80,750,False,complete,2.198374993722127,46.4488128,
oracle,80,1000,False,complete,1.9977255344627698,46.299011199999995,
oracle,80,2000,False,complete,1.7004892336356465,45.9500288,
oracle,80,5000,False,complete,1.5205423085901557,45.7983552,
oracle,80,10000,False,complete,1.4596090931968795,45.7765984,
oracle,70,1,False,complete,17.854016684588778,293.73169279999996,
oracle,70,33,False,complete,18.118902201218052,244.2979136,
oracle,70,36,False,complete,17.8868327104872,80.52578559999999,
oracle,70,38,False,complete,17.05178773002209,74.5136704,
oracle,70,41,False,complete,15.894713398568289,72.1140992,
oracle,70,44,False,complete,14.891734709103122,70.49361280000001,
oracle,70,47,False,complete,14.006935261108904,69.85838079999999,
oracle,70,50,False,complete,13.231344498561715,69.0877824,
oracle,70,52,False,complete,12.760469492057602,68.8746656,
oracle,70,55,False,complete,12.138452906520365,67.1737248,
oracle,70,58,False,complete,11.584721246768785,65.4737824,
oracle,70,65,False,complete,10.496014962294552,62.0327968,
oracle,70,70,False,complete,9.850938818636589,60.220492799999995,
oracle,70,80,False,complete,8.775398545242213,59.06617599999999,
oracle,70,90,False,complete,7.9424403710685345,57.926336,
