case,arm,cores,core,program,signed_error_pct
test-c8-01,md1,8,6,sierra_a_6_0011,-10.889019895309673
test-c8-01,md1,8,7,sierra_a_3_0001,-5.717608400389496
test-c8-07,md1,8,0,biogpt,-40.93040326324017
test-c8-07,md1,8,1,ligra_cf,-12.57671975267743
test-c8-07,md1,8,2,gap_bc,-5.391636635928934
test-c8-07,md1,8,3,sierra_a_6_0001,0.3050163534391158
test-c8-07,md1,8,4,sierra_a_6_0011,-8.381409969446617
test-c8-07,md1,8,5,sierra_a_4_0013,-7.018240340310104
test-c8-07,md1,8,6,tahoe_0035,-3.5432970135857147
test-c8-07,md1,8,7,tahoe_0010,-3.858401978288546
test-c8-01,mess,8,0,cam4,-2.7047046928274856
test-c8-01,mess,8,1,tahoe_0010,4.323027085233625
test-c8-01,mess,8,2,sierra_a_3_0006,1.7105126855891548
test-c8-01,mess,8,3,sierra_a_4_0005,4.1758009804261
test-c8-01,mess,8,4,tahoe_0016,2.970331691812837
test-c8-01,mess,8,5,biogpt,-31.861720370306163
test-c8-01,mess,8,6,sierra_a_6_0011,-3.148934279755983
test-c8-01,mess,8,7,sierra_a_3_0001,0.059911758101268794
test-c4_non_google_02,md1,4,0,pop2,-15.672146837274033
test-c4_non_google_02,md1,4,1,bark,-15.204067743694836
test-c4_non_google_02,md1,4,2,xalancbmk,-4.3118651272981845
test-c4_non_google_02,md1,4,3,ligra_cf,-35.5590214530221
test-c8-02,mess,8,0,gcc,-5.299290666350774
test-c8-02,mess,8,1,gap_bc,-6.560088625427408
test-c8-02,mess,8,2,tahoe_0023,-7.978788025620661
test-c8-02,mess,8,3,sierra_a_4_0013,-7.994569349486244
test-c8-02,mess,8,4,pop2,-12.477573712189969
test-c8-02,mess,8,5,xalancbmk,-3.177164363808974
test-c8-02,mess,8,6,sierra_a_6_0006,-7.297705445682581
test-c8-02,mess,8,7,sierra_a_6_0001,-6.805921783994176
test-c4_mixed_08,wmg1,4,0,sierra_a_4_0013,-43.49481107480535
test-c4_mixed_08,wmg1,4,1,tahoe_0010,-30.965979138010336
test-c4_mixed_08,wmg1,4,2,ligra_cf,-46.72246503153279
test-c4_mixed_08,wmg1,4,3,xalancbmk,-5.464244216593071
test-c8-05,mess,8,0,sierra_a_6_0001,-3.3933172999075043
test-c8-05,mess,8,1,tahoe_0035,-3.385031218119279
test-c8-05,mess,8,2,tahoe_0016,-3.5075351928931955
test-c8-05,mess,8,3,sierra_a_4_0005,-4.210881435459352
test-c8-05,mess,8,4,gcc,1.6785337264900393
test-c8-05,mess,8,5,tahoe_0006,-3.3543130922623274
test-c8-05,mess,8,6,sierra_a_3_0006,-5.5818663519200555
test-c8-05,mess,8,7,ligra_radii,-0.27112343329258026
test-c4_google_04,md1,4,0,tahoe_0023,-19.502148948338917
test-c4_google_04,md1,4,1,tahoe_0013,-27.027373203371415
test-c4_google_04,md1,4,2,tahoe_0011,-22.481960910350118
test-c4_google_04,md1,4,3,tahoe_0006,-25.419228797296007
test-c4_google_03,mess,4,0,sierra_a_4_0013,1.8182478142584952
test-c4_google_03,mess,4,1,sierra_a_3_0006,0.5317900465657099
test-c4_google_03,mess,4,2,sierra_a_6_0001,1.866343571458596
test-c4_google_03,mess,4,3,sierra_a_6_0011,0.4516980281173139
test-c8-04,fixedlat,8,0,sierra_a_3_0001,-30.435931977601996
test-c8-04,fixedlat,8,1,cam4,-7.381235194598839
test-c8-04,fixedlat,8,2,sierra_a_4_0013,-47.42134096799366
test-c8-04,fixedlat,8,3,tahoe_0014,-34.78370228208106
test-c8-04,fixedlat,8,4,xalancbmk,-7.654132421601572
test-c8-04,fixedlat,8,5,tahoe_0011,-33.92282775916754
test-c8-04,fixedlat,8,6,tahoe_0010,-40.1413410991362
test-c8-04,fixedlat,8,7,pop2,-30.712338837632018
test-c8-01,fixedlat,8,0,cam4,-3.550661196179021
test-c8-01,fixedlat,8,1,tahoe_0010,-14.389687939769225
test-c8-01,fixedlat,8,2,sierra_a_3_0006,-13.156249942910739
test-c8-01,fixedlat,8,3,sierra_a_4_0005,-15.157491542240127
test-c8-01,fixedlat,8,4,tahoe_0016,-11.190876795435145
test-c8-01,fixedlat,8,5,biogpt,-46.61065682843999
test-c8-01,fixedlat,8,6,sierra_a_6_0011,-19.484413768347757
test-c8-01,fixedlat,8,7,sierra_a_3_0001,-12.247404879054319
test-c4_google_03,md1,4,0,sierra_a_4_0013,-35.294152371946275
test-c4_google_03,md1,4,1,sierra_a_3_0006,-24.026522328038755
test-c4_google_03,md1,4,2,sierra_a_6_0001,-21.003103135093692
test-c4_google_03,md1,4,3,sierra_a_6_0011,-28.425373476063285
test-c4_mixed_08,mess,4,0,sierra_a_4_0013,1.9894924016930808
test-c4_mixed_08,mess,4,1,tahoe_0010,4.544822484308494
test-c4_mixed_08,mess,4,2,ligra_cf,-5.890392280922297
test-c4_mixed_08,mess,4,3,xalancbmk,0.6779764133118156
test-c8-08,mess,8,0,ligra_radii,12.973893313438346
test-c8-08,mess,8,1,biogpt,-22.73229810801521
test-c8-08,mess,8,2,pop2,6.427883225108178
test-c8-08,mess,8,3,sierra_a_6_0006,7.387162045836081
test-c8-08,mess,8,4,sierra_a_3_0006,8.020050459427132
