campaign,cores,core_change_pp,request_MAE_L_change
astra,1,0.007277784022300393,-0.0013251755264439558
astra,4,-0.8639402051145866,-0.001653937865277677
astra,8,-2.0871467314150127,0.010077563188298777
deepseek,1,0.0688293327522248,0.0028304765472219884
deepseek,4,-0.1948132215383218,-0.013076617009635916
deepseek,8,-3.192282915563691,-0.04022869537570306
