arm,pattern,read_percent,interval,admission_wait_max,admission_wait_sum,cpu_seconds,drain_cpu_seconds,drain_simulated_cycles,drain_wall_seconds,input_loading_wall_seconds,measured_reads,measured_reads_completed,measured_simulated_cycles,measured_writes,measured_writes_completed,peak_rss_kib,repeat,requests_per_second,simulated_cycles,total_process_cpu_seconds,total_process_wall_seconds,wall_seconds,warmup_cpu_seconds,warmup_reads_outstanding,warmup_wall_seconds,warmup_writes_outstanding
deepseek_multicore,streaming,100,4,20399561,51997815000000,1.579003,7e-06,512,8.709e-06,0.085110605,5000000,5000000,40000512,0,0,210828,3,3166310.3504697545,40800069,1.7,1.71,1.579125053,0.031893,64,0.031896085,0
deepseek_multicore,streaming,100,4,20399561,51997815000000,1.569857,7e-06,512,8.542e-06,0.083941822,5000000,5000000,40000512,0,0,210812,4,3184924.834519045,40800069,1.6900000000000002,1.7,1.569895762,0.031682,64,0.031696053,0
deepseek_multicore,streaming,100,4,20399561,51997815000000,1.577732,8e-06,512,8.184e-06,0.08442562,5000000,5000000,40000512,0,0,210832,5,3169012.543518901,40800069,1.7,1.71,1.577778545,0.031711,64,0.03171355,0
fixedlat,streaming,100,4,0,0,2.099849,0.746212,20400039,0.746226865,0.086258675,5000000,5000000,40400039,0,0,953000,1,2381011.232747165,40800035,2.29,2.29,2.099948094,0.021353,50005,0.021355417,0
fixedlat,streaming,100,4,0,0,2.107544,0.751683,20400039,0.751698204,0.085229154,5000000,5000000,40400039,0,0,952988,2,2372355.305363338,40800035,2.29,2.3,2.107610099,0.021436,50005,0.021439266,0
fixedlat,streaming,100,4,0,0,2.106391,0.747479,20400039,0.747483806,0.089034936,5000000,5000000,40400039,0,0,953052,3,2373634.1875675176,40800035,2.3000000000000003,2.3,2.106474547,0.021346,50005,0.021348397,0
fixedlat,streaming,100,4,0,0,2.10757,0.748786,20400039,0.748814908,0.088837901,5000000,5000000,40400039,0,0,953012,4,2372318.9767297776,40800035,2.3000000000000003,2.3,2.107642374,0.021376,50005,0.02137753,0
fixedlat,streaming,100,4,0,0,2.1157,0.752728,20400039,0.752746464,0.08792804,5000000,5000000,40400039,0,0,953040,5,2363188.3045946923,40800035,2.3,2.31,2.115785691,0.021422,50005,0.021424381,0
md1,streaming,100,4,0,0,0.80887,1.4e-05,441,1.4514e-05,0.088945986,5000000,5000000,20000441,0,0,210804,1,6181379.761501995,20400437,0.9199999999999999,0.93,0.808880896,0.016417,111,0.016420334,0
md1,streaming,100,4,0,0,0.814274,1.4e-05,441,1.5533e-05,0.104759132,5000000,5000000,20000441,0,0,210832,2,6140129.1732867705,20400437,0.95,0.95,0.814315116,0.016318,111,0.016321003,0
md1,streaming,100,4,0,0,0.820373,1.3e-05,441,1.3339e-05,0.081653143,5000000,5000000,20000441,0,0,210840,3,6094653.981743067,20400437,0.9199999999999999,0.93,0.820391119,0.017139,111,0.017141673,0
md1,streaming,100,4,0,0,0.828632,1.3e-05,441,1.4226e-05,0.082178708,5000000,5000000,20000441,0,0,210832,4,6033919.679478186,20400437,0.94,0.94,0.82864875,0.016766,111,0.016768246,0
md1,streaming,100,4,0,0,0.817942,1.3e-05,441,1.3907e-05,0.089392462,5000000,5000000,20000441,0,0,210840,5,6112540.8303363,20400437,0.94,0.94,0.817990446,0.017058,111,0.017065891,0
wmg1,streaming,100,4,0,0,1.317264,2.5e-05,842,2.6487e-05,0.085271349,5000000,5000000,20000842,0,0,210840,1,3795520.5077191875,20400838,1.4400000000000002,1.45,1.317342375,0.026446,211,0.026447939,0
wmg1,streaming,100,4,0,0,1.30618,2.5e-05,842,2.5698e-05,0.079760671,5000000,5000000,20000842,0,0,210840,2,3827776.4616946625,20400838,1.4200000000000002,1.43,1.306241378,0.02636,211,0.026362983,0
wmg1,streaming,100,4,0,0,1.299787,2.5e-05,842,2.5671e-05,0.079844454,5000000,5000000,20000842,0,0,210832,3,3846693.9071834385,20400838,1.4200000000000002,1.42,1.299817485,0.026401,211,0.026410738,0
wmg1,streaming,100,4,0,0,1.304053,2.5e-05,842,2.5237e-05,0.083902556,5000000,5000000,20000842,0,0,210804,4,3834088.776880944,20400838,1.4200000000000002,1.43,1.304090826,0.02646,211,0.026461631,0
wmg1,streaming,100,4,0,0,1.304302,2.4e-05,842,2.5729e-05,0.094847299,5000000,5000000,20000842,0,0,210832,5,3833403.3538956554,20400838,1.4400000000000002,1.44,1.304324001,0.02595,211,0.025952326,0
mess,streaming,100,4,0,0,1.211381,0.00256,52409,0.002559878,0.108106218,5000000,5000000,20052409,0,0,210840,1,4127423.2434119643,20452405,1.35,1.35,1.211409566,0.017439,299,0.017443691,0
mess,streaming,100,4,0,0,1.216077,0.002534,52409,0.002533839,0.082471194,5000000,5000000,20052409,0,0,210840,2,4111547.1017586067,20452405,1.33,1.33,1.216087248,0.017581,299,0.017583828,0
mess,streaming,100,4,0,0,1.199097,0.002465,52409,0.00246568,0.083359199,5000000,5000000,20052409,0,0,210816,3,4169684.274125325,20452405,1.31,1.32,1.199131558,0.017632,299,0.017633913,0
mess,streaming,100,4,0,0,1.194583,0.002474,52409,0.002474008,0.084768751,5000000,5000000,20052409,0,0,210840,4,4185390.110472794,20452405,1.31,1.31,1.194631771,0.017551,299,0.017554416,0
mess,streaming,100,4,0,0,1.201187,0.002467,52409,0.002467171,0.084465297,5000000,5000000,20052409,0,0,210808,5,4162419.3305131285,20452405,1.31,1.32,1.201224481,0.017749,299,0.017751472,0
oracle,streaming,50,256,0,0,28.828506,1e-06,1,3.366e-06,0.084863966,2498354,2498354,1280000001,2501646,2501646,210804,1,173431.082108448,1305599745,29.5,29.51,28.829895652,0.57709,0,0.577103704,1
oracle,streaming,50,256,0,0,29.749739,1e-06,1,2.678e-06,0.081601848,2498354,2498354,1280000001,2501646,2501646,210808,2,168059.96823667677,1305599745,30.43,30.45,29.751284928,0.59519,0,0.595201445,1
