cohort,cores,arm,cases,core_abs_pct,core_signed_pct,mae_L,drift_L,abs_drift_L,p99_L,p999_L,worst_core_pct,makespan_abs_pct,oracle_coverage,model_coverage,min_oracle_pairing,paired_reads_total
training,4,fixedlat,8,22.904194219268703,-22.904194219268703,0.5692553141324613,-0.43603967297990365,0.43603967297990365,2.866535190469123,5.180996506516662,33.48605919726762,28.956170071657965,0.9126610935291448,0.9134657161422715,0.7265006710136203,8955816
training,4,md1,8,18.72577326447751,-18.72577326447751,0.589698602108609,-0.45192170558330613,0.45192170558330613,3.104800243432905,5.503011282424954,27.748142268158986,21.95511564901524,0.9016515923209014,0.8979189628570747,0.669532600743609,8868776
training,4,wmg1,8,23.83846240444431,-23.83846240444431,0.6287785034248823,-0.5549478442713788,0.5549478442713788,3.1670087575837407,5.529288096344912,35.31182443484232,29.116251644806617,0.9009756028174899,0.8983229082003157,0.6698030722938523,8859914
training,4,mess,8,6.195548039748488,-0.6197315734517774,0.4831039727723966,-0.052611177297791925,0.1294690167904077,2.66653662009218,5.170600529754382,14.205311706813132,6.552222192415909,0.9048227545226373,0.8978701624311722,0.6747213344765765,8896845
training,4,astra_single_core,8,3.5324343494401043,-1.0604000481696239,0.4955835781529264,0.022140373062922037,0.08597656243496263,2.718865443217542,4.712373001573631,7.358799549642667,4.802498949132559,0.9183787094249511,0.9202116780395646,0.7225037025489126,9010937
training,4,astra_multicore,8,2.240161531012409,-0.23604414567744303,0.4981452447458895,0.03166375611861017,0.06929388670875218,2.6906215960246653,4.713915100667087,5.345032271751135,2.342566880170033,0.9188032654749418,0.9198262710040567,0.7245688655315001,9014185
training,4,deepseek_single_core,8,4.0827905732043535,2.9462904703035298,0.5281174368014923,0.051682430863566026,0.06713732264328678,2.5254109202522597,4.53194868833731,9.510421402810946,5.802566207094084,0.9070976425227939,0.906651717584575,0.666196784957274,8909953
training,4,deepseek_multicore,8,3.940921702285599,-1.0451061625539828,0.5179886071319876,-0.0076567175149432915,0.09291229823005938,2.5498566988423956,4.61530173924256,10.110131936247658,5.662484983777301,0.9070995368639517,0.906682880419492,0.6666654144835636,8909159
training,1,fixedlat,14,19.833301777412533,-19.833301777412533,0.4498754846395057,-0.41532383941975587,0.41532383941975587,2.044354142504821,3.7785897373680943,19.833301777412533,19.833301777412533,0.9630154373929759,0.9630254106104152,0.9027301529724491,4388674
training,1,md1,14,19.665994171948558,-18.884519489292785,0.5186111632752999,-0.46240146533406884,0.4795004781621412,2.329197066078567,4.266311766723069,19.665994171948558,19.665994171948558,0.956127518151307,0.9561308452929248,0.898382992229521,4362043
training,1,wmg1,14,21.036206020398616,-21.036206020398616,0.5185480101911656,-0.5015411747948654,0.5015411747948654,2.3600653623495518,4.3096755600411045,21.036206020398616,21.036206020398616,0.956047505074457,0.9560455471730162,0.8983716567386659,4362856
training,1,mess,14,13.126453876776905,7.41837179137855,0.5584461925696212,0.22420074174151475,0.3714972448368224,1.8595612541535422,3.7711721653792525,13.126453876776905,13.126453876776905,0.9557939601342296,0.95579991036777,0.8980655984855784,4360696
training,1,astra_single_core,14,0.38943634074918343,-0.22563649000348526,0.17240007477170174,0.02472957764289326,0.037103016894701725,1.7604383747592858,3.2003283858046125,0.38943634074918343,0.38943634074918343,0.9641456399178459,0.9641469800143339,0.9034612921326026,4391897
training,1,astra_multicore,14,0.4443115964742855,-0.1604293195712547,0.1703680069749696,0.024886518036802096,0.03435842272269373,1.7205537562756916,3.187811633193328,0.4443115964742855,0.4443115964742855,0.964177091616009,0.9641785457569556,0.9035576438048709,4391934
