campaign,stage,round,split,cores,kind,core_abs_pct,mae_L,promoted
astra,single_core,0,training,1,retained,23.669059815495295,0.5425008952265906,
astra,single_core,0,validation,1,retained,24.90287930451552,0.5308634367491337,
astra,single_core,1,training,1,submitted,4.265762707772138,0.22524536791424385,True
astra,single_core,1,validation,1,submitted,7.681125601389851,0.2598071846946882,True
astra,single_core,1,training,1,retained,4.265762707772138,0.22524536791424385,True
astra,single_core,1,validation,1,retained,7.681125601389851,0.2598071846946882,True
astra,single_core,2,training,1,submitted,3.466275073665419,0.20609310099752173,True
astra,single_core,2,validation,1,submitted,6.052582678654991,0.2148519828529194,True
astra,single_core,2,training,1,retained,3.466275073665419,0.20609310099752173,True
astra,single_core,2,validation,1,retained,6.052582678654991,0.2148519828529194,True
astra,single_core,3,training,1,submitted,0.7366271746736571,0.18115098024504808,True
astra,single_core,3,validation,1,submitted,2.649314679892918,0.17393238170573314,True
astra,single_core,3,training,1,retained,0.7366271746736571,0.18115098024504808,True
astra,single_core,3,validation,1,retained,2.649314679892918,0.17393238170573314,True
astra,single_core,4,training,1,submitted,0.7147262190452507,0.1793544294363825,True
astra,single_core,4,validation,1,submitted,2.6486185150615844,0.1739352715264507,True
astra,single_core,4,training,1,retained,0.7147262190452507,0.1793544294363825,True
astra,single_core,4,validation,1,retained,2.6486185150615844,0.1739352715264507,True
astra,single_core,5,training,1,submitted,0.7560455306855897,0.17590393954864408,True
astra,single_core,5,validation,1,submitted,2.650609490737255,0.170445151508439,True
astra,single_core,5,training,1,retained,0.7560455306855897,0.17590393954864408,True
astra,single_core,5,validation,1,retained,2.650609490737255,0.170445151508439,True
astra,single_core,6,training,1,submitted,0.7781667611681033,0.1753637780916081,False
astra,single_core,6,validation,1,submitted,2.6416585208060477,0.17025542839367208,False
astra,single_core,6,training,1,retained,0.7560455306855897,0.17590393954864408,False
astra,single_core,6,validation,1,retained,2.650609490737255,0.170445151508439,False
astra,single_core,7,training,1,submitted,0.6962508214543338,0.176789512830727,True
astra,single_core,7,validation,1,submitted,2.641658415724251,0.17096348408690093,True
astra,single_core,7,training,1,retained,0.6962508214543338,0.176789512830727,True
astra,single_core,7,validation,1,retained,2.641658415724251,0.17096348408690093,True
astra,single_core,8,training,1,submitted,0.6753133023389184,0.17288798553117185,True
astra,single_core,8,validation,1,submitted,2.1199131365822894,0.16164529903154765,True
astra,single_core,8,training,1,retained,0.6753133023389184,0.17288798553117185,True
astra,single_core,8,validation,1,retained,2.1199131365822894,0.16164529903154765,True
astra,single_core,9,training,1,submitted,1.0054983978048582,0.16203677048592913,False
astra,single_core,9,validation,1,submitted,2.5502237025196592,0.1473495617756397,False
astra,single_core,9,training,1,retained,0.6753133023389184,0.17288798553117185,False
astra,single_core,9,validation,1,retained,2.1199131365822894,0.16164529903154765,False
astra,single_core,10,training,1,submitted,0.3894363407491835,0.17240007477170177,True
astra,single_core,10,validation,1,submitted,2.154533893784704,0.15850632606951906,True
astra,single_core,10,training,1,retained,0.3894363407491835,0.17240007477170177,True
astra,single_core,10,validation,1,retained,2.154533893784704,0.15850632606951906,True
deepseek,single_core,0,training,1,retained,23.669059815495295,0.5425008952265906,
deepseek,single_core,0,validation,1,retained,24.90287930451552,0.5308634367491337,
deepseek,single_core,1,training,1,submitted,7.559882052885213,0.2407031733282749,True
deepseek,single_core,1,validation,1,submitted,9.908721178598652,0.2440552027608685,True
deepseek,single_core,1,training,1,retained,7.559882052885213,0.2407031733282749,True
deepseek,single_core,1,validation,1,retained,9.908721178598652,0.2440552027608685,True
deepseek,single_core,2,training,1,submitted,3.409739441699735,0.2785853963710827,True
deepseek,single_core,2,validation,1,submitted,6.3640463589366165,0.21946912860387974,True
deepseek,single_core,2,training,1,retained,3.409739441699735,0.2785853963710827,True
deepseek,single_core,2,validation,1,retained,6.3640463589366165,0.21946912860387974,True
deepseek,single_core,3,training,1,submitted,4.544658549721267,0.17581254132474555,True
