mode,ending,arm,cases,time_error_pct,signed_error_pct
FS,instruction_cap,astra_multicore,5,0.07842253081323043,-0.010779448728610919
FS,instruction_cap,astra_single_core,5,0.14348129242003724,-0.09905851072685792
FS,instruction_cap,deepseek_multicore,5,0.10976693803606459,-0.06087940645713132
FS,instruction_cap,deepseek_single_core,5,0.8098052019921456,0.8098052019921456
FS,instruction_cap,fixedlat,5,6.187707784072916,-6.187707784072916
FS,instruction_cap,md1,5,5.6847891661680325,-5.6847891661680325
FS,instruction_cap,mess,5,4.466109414336904,1.544649086700935
FS,instruction_cap,wmg1,5,6.986090745016905,-6.986090745016905
FS,roi_end,astra_multicore,4,0.6639521239437417,-0.30228824023501144
FS,roi_end,astra_single_core,4,0.6079827088496847,-0.2964561013698082
FS,roi_end,deepseek_multicore,4,0.7910388981496701,-0.44388397670471497
FS,roi_end,deepseek_single_core,4,0.7889580872884957,-0.44272931878031463
FS,roi_end,fixedlat,4,16.664375939877733,-16.664375939877733
FS,roi_end,md1,4,16.21008757294473,-16.21008757294473
FS,roi_end,mess,4,1.7199232614134063,1.6734211105280052
FS,roi_end,wmg1,4,17.02733321395741,-17.02733321395741
SE,roi_end,astra_multicore,6,0.42078473423189006,0.23839782512509075
SE,roi_end,astra_single_core,6,0.546612180506379,0.369908909853661
SE,roi_end,deepseek_multicore,6,0.7530656936246364,-0.09105966950403194
SE,roi_end,deepseek_single_core,6,0.5649529106231008,0.5649529106231008
SE,roi_end,fixedlat,6,10.202779906587864,-10.202779906587864
SE,roi_end,md1,6,11.333989240531496,-11.333989240531496
SE,roi_end,mess,6,4.570440674234617,-4.04829106319537
SE,roi_end,wmg1,6,14.076683678047793,-14.076683678047793
