cohort,arm,cases,core_abs_pct,mae_L,p99_L,p999_L,oracle_coverage,model_coverage
training,astra_single_core,14,0.38943634074918343,0.17240007477170174,1.7604383747592858,3.2003283858046125,0.9641456399178459,0.9641469800143339
training,deepseek_single_core,14,0.7958021656462257,0.173914530120632,1.4233410049696442,3.115200231560723,0.9607057469679212,0.960707026679259
training,fixedlat,14,19.833301777412533,0.4498754846395057,2.044354142504821,3.7785897373680943,0.9630154373929759,0.9630254106104152
training,gemini_single_core,14,0.8652130305036653,0.1556086227021658,1.6055834856674658,3.451892391310836,0.9643619442820922,0.9643620624532818
training,md1,14,19.665994171948558,0.5186111632752999,2.329197066078567,4.266311766723069,0.956127518151307,0.9561308452929248
training,mess,14,13.126453876776905,0.5584461925696212,1.8595612541535422,3.7711721653792525,0.9557939601342296,0.95579991036777
training,opus_single_core,14,0.08601883148261853,0.08468621612080453,1.2009244730635305,3.166072034016629,0.9648115028549943,0.9648118874541021
training,wmg1,14,21.036206020398616,0.5185480101911656,2.3600653623495518,4.3096755600411045,0.956047505074457,0.9560455471730162
validation,astra_single_core,14,2.154533893784704,0.15850632606951912,1.5078685966939298,3.738516586055454,0.9661637305173488,0.9661599230286478
validation,deepseek_single_core,14,2.187319472222376,0.15784031492909079,1.2938084595322366,2.9085101121289676,0.9647093151308017,0.9647073803395657
validation,fixedlat,14,23.41527847969589,0.4831396511802898,1.8430323880661488,3.209559938637137,0.9612567026104438,0.9612526627217993
validation,gemini_single_core,14,1.167486659783899,0.15014264205716327,1.2255147893113283,3.218785727809383,0.9661119466727642,0.9661074097221635
validation,md1,14,20.96438904720632,0.4819831628308783,1.9066361127990004,3.4136578796062116,0.9418754118058733,0.9418715002696446
validation,mess,14,13.190198473169222,0.5634505725844242,1.401159680272677,2.8182017447914816,0.942139030521534,0.9421379034542756
validation,opus_single_core,14,0.445975589924615,0.05520547197421257,0.7430740940319583,2.3612125736148224,0.967188765962273,0.9671839280655924
validation,wmg1,14,23.559703197425154,0.5064336940617377,1.9851957617987475,3.466966462596757,0.9420541497647036,0.9420499795868132
test,astra_single_core,24,1.5395424307536392,0.20097161117230208,1.902892028273284,4.302935661226438,0.9387580914046337,0.938757962751152
test,deepseek_single_core,24,0.6788657490402975,0.19666880257128716,1.6012045210165418,3.1024300460776026,0.9374369136601932,0.9374370941947788
test,fixedlat,24,23.880890545344517,0.5161690823006163,1.9277002379912813,3.5919064480687592,0.9315075001297867,0.9315047157518453
test,gemini_single_core,24,2.2516685892387738,0.20682169853822643,1.5682488323544324,2.9987077682350325,0.9389334866956155,0.9389337646391843
test,md1,24,22.701249187605146,0.5305166665573668,1.9994557233044137,3.775174058766923,0.9255488223564022,0.9255464715117258
test,mess,24,8.566498271889259,0.4756378677619062,1.4341618730794998,3.172408563148341,0.9254047985481592,0.9254025749721574
test,opus_single_core,24,0.15158665570730562,0.06276126084498623,0.886785077623866,2.571198867292543,0.9401473271020856,0.9401469368621793
test,wmg1,24,24.4379080476504,0.5569291711366561,2.0423620977407455,3.8254271814086054,0.9250946475806524,0.9250922957450808
