cohort,cases,core_abs_pct,mae_L,abs_drift_L,p999_L,oracle_coverage,pairs
training,14,0.08601883148261853,0.08468621612080451,0.004571114670543242,3.1660720340166293,0.9648115028549943,4394101
validation,14,0.4459755899246149,0.05520547197421257,0.004427720102536571,2.361212573614822,0.967188765962273,5091492
test,24,0.15158665570730562,0.06276126084498625,0.005318869993815422,2.571198867292543,0.9401473271020856,7863826
