cores,organization,queue,arm,cases,core_abs_pct,mae_L,p999_L,oracle_coverage
1,DDR5_16Gb_x8,128,deepseek_single_core,24,0.6903608406809689,0.2025358490802286,2.6747355662394425,0.9374465192827524
8,DDR5_16Gb_x8,128,deepseek_multicore,8,6.399916976952465,0.6457532474216903,4.7489620972309865,0.8770737845510129
8,DDR5_16Gb_x16,128,astra_single_core,8,6.6101537832414525,0.7160705165226151,5.410823388207351,0.9034998690480986
1,DDR5_8Gb_x8,32,astra_multicore,24,1.6886189106632727,0.1957214707844287,4.370832302594625,0.9384279912963653
1,DDR5_16Gb_x16,128,astra_single_core,24,1.5218627280939714,0.21550896947439738,4.3291817586315124,0.9383664785255149
4,DDR5_8Gb_x8,64,astra_single_core,8,5.127274043802718,0.5871155848267893,6.182922085527762,0.830776522539621
1,DDR5_16Gb_x16,128,astra_multicore,24,1.5290826002237772,0.21419256308591528,4.27631483808588,0.9383614297795776
1,DDR5_16Gb_x16,64,astra_multicore,24,1.523477272854694,0.2058268512299556,4.308663145258289,0.9383648362061504
1,DDR5_16Gb_x8,128,deepseek_multicore,24,0.6562915899989786,0.2015113346715253,2.69341318762562,0.9374469482793231
1,DDR5_16Gb_x8,64,deepseek_multicore,24,0.7476950817925223,0.1994992791185091,3.1348047310519203,0.9374372437967811
4,DDR5_16Gb_x8,32,astra_multicore,8,5.268743130276054,0.5069618511525908,5.6770004146471145,0.8342629965622209
8,DDR5_16Gb_x8,32,deepseek_multicore,8,9.274563637263673,0.5827937100466146,5.399426649972161,0.8768921931898237
1,DDR5_16Gb_x8,32,deepseek_single_core,24,0.8973897871733988,0.19596124830996586,4.2222062757865135,0.9374178844401017
4,DDR5_16Gb_x16,32,deepseek_single_core,8,10.257054249748299,0.5443189995594623,6.229693690661617,0.8177203573124977
4,DDR5_16Gb_x8,64,deepseek_single_core,8,4.351135830096371,0.5325664398041416,5.261876073258795,0.8201668126755668
1,DDR5_16Gb_x16,32,astra_single_core,24,1.770801998065364,0.1979700357957059,4.411932941330204,0.9383849917708851
1,DDR5_8Gb_x8,64,astra_multicore,24,1.4531830863268365,0.20466771214338708,4.343742461147031,0.9384190977470838
8,DDR5_16Gb_x16,32,astra_multicore,8,15.616478171006186,0.6383097563539077,5.372548370762361,0.9035865406455815
8,DDR5_16Gb_x8,32,deepseek_single_core,8,7.419194912171539,0.5864762935907998,5.1800953744567995,0.8779109071098783
8,DDR5_16Gb_x16,32,deepseek_single_core,8,14.631521225747745,0.6205275422556338,5.456917183426786,0.8744736793897284
8,DDR5_16Gb_x16,128,deepseek_single_core,8,8.665763773299023,0.7021165763091566,5.230118430706031,0.8759622481382412
4,DDR5_16Gb_x16,32,astra_multicore,8,6.739864562277694,0.5576468368631036,6.054898220267741,0.8326515144895388
8,DDR5_16Gb_x8,128,deepseek_single_core,8,13.381085320296275,0.7127869777411902,4.612352347382058,0.8765787537546827
1,DDR5_16Gb_x8,128,astra_single_core,24,1.5718547555349514,0.2092187700095359,4.280364086963304,0.9387611673059272
1,DDR5_16Gb_x16,64,astra_single_core,24,1.5130845104872168,0.20705253603052573,4.361146343866904,0.9383570510144298
1,DDR5_8Gb_x8,32,deepseek_multicore,24,1.9873439134678097,0.22157140255853106,4.457386421648132,0.93681680202722
8,DDR5_8Gb_x8,128,astra_single_core,8,5.148487410607318,0.7209023224656236,5.3537685976619755,0.9033396370392642
4,DDR5_16Gb_x8,64,astra_multicore,8,3.842379710637336,0.5250950971192264,5.458131331930675,0.8327213477795677
1,DDR5_16Gb_x16,64,deepseek_single_core,24,1.7925564302550772,0.2175517667362459,3.3002372997133684,0.9367700316996467
1,DDR5_16Gb_x16,64,deepseek_multicore,24,1.8614092151270005,0.22012881162947073,3.3407605150587787,0.9367649224113573
4,DDR5_16Gb_x8,128,deepseek_single_core,8,6.372462836560074,0.5444926102815945,4.98104048348472,0.8203008847722549
8,DDR5_16Gb_x16,64,deepseek_multicore,8,14.297256711270824,0.6414063026378515,5.10794527342321,0.8744509665837886
1,DDR5_16Gb_x8,32,astra_single_core,24,1.7671698818498232,0.19298411897174372,4.343530165034651,0.9387699566704168
4,DDR5_16Gb_x8,32,deepseek_single_core,8,5.479755202610971,0.5175057116352084,5.690074908868354,0.8195366238453831
8,DDR5_16Gb_x8,32,astra_single_core,8,12.61355258184588,0.576655345091803,5.22938565953317,0.9052679750916737
1,DDR5_8Gb_x8,32,deepseek_single_core,24,1.9198080695032471,0.2148852756437494,4.421227577649543,0.9368193621911495
1,DDR5_16Gb_x16,128,deepseek_multicore,24,1.7553683589164726,0.22176356490952606,2.923153285967496,0.9367680014073904
8,DDR5_8Gb_x8,128,deepseek_multicore,8,8.56331573801705,0.6582010474691016,5.226751807649201,0.8755657433638129
1,DDR5_8Gb_x8,128,astra_multicore,24,1.4735097788627394,0.21300779366417819,4.302364479399272,0.938414439448227
1,DDR5_16Gb_x8,64,astra_single_core,24,1.5395424307536392,0.20097161117230208,4.302935661226438,0.9387580914046337
1,DDR5_8Gb_x8,64,astra_single_core,24,1.446973579843599,0.20572459297862392,4.37499884844033,0.9384078695492599
1,DDR5_16Gb_x16,32,astra_multicore,24,1.7744244848447595,0.19672248640638948,4.379010555256828,0.9383794642652021
4,DDR5_8Gb_x8,32,deepseek_multicore,8,10.665758666130706,0.5394026325602278,6.345926885788449,0.8168715261356241
8,DDR5_16Gb_x8,64,astra_multicore,8,4.576493859834802,0.6068097383146315,4.740821498250136,0.9055972984107804
1,DDR5_8Gb_x8,128,deepseek_multicore,24,1.6109585057264357,0.2202126622744158,2.902545665570608,0.9368126017536677
8,DDR5_8Gb_x8,64,astra_single_core,8,8.806387032643448,0.670483871835621,5.059303902752609,0.9047539316794699
4,DDR5_16Gb_x16,128,deepseek_single_core,8,5.381862764262882,0.5567094759533495,5.860614248211077,0.8184517389510853
1,DDR5_8Gb_x8,32,astra_single_core,24,1.680133385928609,0.19686661888669557,4.392487516517611,0.9384240412555043
8,DDR5_16Gb_x16,128,astra_multicore,8,5.37021496589078,0.7197862694576196,5.355361269917221,0.9036837603255403
1,DDR5_16Gb_x8,32,deepseek_multicore,24,0.9646637228099612,0.2024570572309037,4.254111522184771,0.9374181510930047
8,DDR5_8Gb_x8,128,astra_multicore,8,4.05117861570253,0.7259602075690208,5.314399554551583,0.90366277062351
1,DDR5_16Gb_x8,32,astra_multicore,24,1.7765725939503378,0.19186501021693514,4.316510678452377,0.9387749559747003
4,DDR5_8Gb_x8,128,deepseek_single_core,8,5.420053797780762,0.5590798182601988,5.703820802556958,0.8192958116730814
4,DDR5_8Gb_x8,64,deepseek_multicore,8,6.705612716845725,0.5425095764219455,6.119514573685039,0.8175633385946816
4,DDR5_16Gb_x16,128,astra_multicore,8,4.5553603977545505,0.6005754780204173,6.200127423657515,0.8307965782068537
1,DDR5_16Gb_x8,64,deepseek_single_core,24,0.6788657490402975,0.19666880257128716,3.1024300460776026,0.9374369136601933
1,DDR5_16Gb_x16,32,deepseek_multicore,24,2.1174676213038786,0.2227311065789487,4.479827589520615,0.9367677583809142
1,DDR5_16Gb_x8,128,astra_multicore,24,1.5790888243596657,0.20753307995437706,4.23477337412625,0.9387918053967677
4,DDR5_8Gb_x8,32,deepseek_single_core,8,9.356775516467426,0.536982859146959,6.261087200219586,0.818166827196229
8,DDR5_8Gb_x8,32,astra_single_core,8,15.057467006250096,0.6375497093235162,5.500882154833392,0.9039907288611353
8,DDR5_8Gb_x8,32,astra_multicore,8,13.751766219165102,0.6375882944018578,5.495202386089063,0.9043674760265562
1,DDR5_8Gb_x8,64,deepseek_multicore,24,1.7230484945480067,0.21872509707526464,3.3246645973278515,0.936808160392188
1,DDR5_8Gb_x8,128,astra_single_core,24,1.4673099078643244,0.21418758724583953,4.338344759178974,0.9384062688224645
8,DDR5_8Gb_x8,64,deepseek_single_core,8,9.22277154518033,0.6621755086456889,4.96928046564243,0.8758534035883048
8,DDR5_8Gb_x8,32,deepseek_multicore,8,18.640489170158723,0.6208104430688204,5.713210413991948,0.8738243519362373
8,DDR5_16Gb_x8,64,deepseek_multicore,8,5.506034445423838,0.6093217981478327,4.750454399047386,0.8778788145430854
1,DDR5_16Gb_x8,64,astra_multicore,24,1.5468202147759396,0.19964643564585813,4.270899634530564,0.9387885562113408
4,DDR5_16Gb_x16,128,deepseek_multicore,8,5.443653437618984,0.5409165248010268,5.927180259485018,0.8176881335087737
4,DDR5_16Gb_x8,128,astra_single_core,8,5.157405694004365,0.5450060440809914,5.507964721610496,0.8294714267477281
1,DDR5_8Gb_x8,128,deepseek_single_core,24,1.6326818115981039,0.22147025313843596,2.8764777354457585,0.9368158140743695
8,DDR5_8Gb_x8,64,astra_multicore,8,7.369353444699128,0.6725281306907498,5.022779251012574,0.9053562944036634
1,DDR5_16Gb_x16,128,deepseek_single_core,24,1.740813174020986,0.22263307043530287,2.889043953529244,0.9367732732513016
8,DDR5_16Gb_x8,128,astra_multicore,8,3.8773054548448824,0.6548020768313351,4.893212174941206,0.9045691422728555
4,DDR5_16Gb_x8,64,astra_single_core,8,4.706319915751923,0.5267490349845041,5.481118786705321,0.8307482765507801
8,DDR5_16Gb_x8,32,astra_multicore,8,10.321859284289227,0.5810486293221495,5.214765307162625,0.9053732538893979
8,DDR5_16Gb_x16,64,astra_multicore,8,9.318933407240278,0.6756484553131414,5.019075007290184,0.9046154710501856
8,DDR5_8Gb_x8,32,deepseek_single_core,8,13.133630628509092,0.6196067611086276,5.5673811615404745,0.8747254415501978
8,DDR5_16Gb_x16,128,deepseek_multicore,8,10.097838164260086,0.6565757548948501,5.324800374934049,0.8751999120864712
1,DDR5_16Gb_x16,32,deepseek_single_core,24,2.050108314074556,0.21611936271980567,4.451084703832575,0.9367702496987148
4,DDR5_8Gb_x8,128,astra_single_core,8,5.451325482732932,0.6081853872564634,6.164404004780755,0.8296075675329929
8,DDR5_8Gb_x8,128,deepseek_single_core,8,8.695094222215527,0.70827950868124,5.116509867529286,0.8760026509569102
1,DDR5_8Gb_x8,64,deepseek_single_core,24,1.6539441125856922,0.21596707167250906,3.2839243257628965,0.9368138379698624
4,DDR5_8Gb_x8,32,astra_single_core,8,6.516506569537505,0.561737215548112,6.152251519446421,0.831964038311033
4,DDR5_8Gb_x8,128,astra_multicore,8,5.134944250498591,0.6073127485357004,6.197167433492009,0.8311445593042629
4,DDR5_16Gb_x16,64,deepseek_multicore,8,7.61427285197583,0.5427309606428445,5.978541452361302,0.8168560497262377
8,DDR5_16Gb_x8,64,deepseek_single_core,8,8.698317360987529,0.6495504935235358,4.580573018137513,0.8773441783729822
8,DDR5_16Gb_x16,32,astra_single_core,8,16.821207796108713,0.6383381072545976,5.399837020746237,0.9033889238105344
4,DDR5_16Gb_x16,32,astra_single_core,8,7.264291150279494,0.5597388513519671,6.045463584345377,0.8315290835604432
4,DDR5_16Gb_x8,128,deepseek_multicore,8,4.885289361579504,0.5239922673946786,5.039627591971815,0.8193273867718548
8,DDR5_16Gb_x8,128,astra_single_core,8,3.781798065805352,0.6401861606680904,4.912129807896126,0.9045465453929667
4,DDR5_8Gb_x8,64,astra_multicore,8,4.595092833493206,0.5858677604538592,6.198525739672521,0.8321976549840393
4,DDR5_8Gb_x8,128,deepseek_multicore,8,5.032713136435084,0.542131923437115,5.793976406115764,0.8180657534966602
4,DDR5_16Gb_x16,128,astra_single_core,8,4.876061411976811,0.6011721554427328,6.185460957133063,0.8295867262533704
8,DDR5_16Gb_x8,64,astra_single_core,8,6.6636405912498144,0.5967321751263327,4.717353250973184,0.9060862471042698
4,DDR5_16Gb_x16,32,deepseek_multicore,8,11.529269880519488,0.5456374938296263,6.302580151771465,0.8163840400552098
4,DDR5_16Gb_x8,128,astra_multicore,8,4.61312904807713,0.5431272844651537,5.470977502423744,0.8319081580785577
4,DDR5_8Gb_x8,64,deepseek_single_core,8,5.975318321600456,0.5518319155051944,6.064811678322381,0.8190227914845821
4,DDR5_16Gb_x8,32,deepseek_multicore,8,6.855202075204972,0.5111119393445829,5.768680746922958,0.8186226016316113
8,DDR5_16Gb_x16,64,deepseek_single_core,8,9.980902462492041,0.6559823599809717,4.931297875009298,0.8754076163144773
4,DDR5_16Gb_x16,64,astra_multicore,8,4.558319552925216,0.5803197329223195,5.996283395074082,0.8319101382043016
8,DDR5_16Gb_x16,32,deepseek_multicore,8,20.452485228207745,0.6252678772092906,5.597651451232164,0.8736091460335323
8,DDR5_8Gb_x8,64,deepseek_multicore,8,12.415462728215488,0.6365504664112247,5.091601986440603,0.8749445861918779
4,DDR5_16Gb_x16,64,astra_single_core,8,5.122553164254008,0.5813565625377418,5.982469918227386,0.830545441412737
8,DDR5_16Gb_x16,64,astra_single_core,8,10.698603617694538,0.6728950485747534,5.0570924230397845,0.9042974351623954
4,DDR5_16Gb_x16,64,deepseek_single_core,8,6.609295972052685,0.5494607089174517,5.898289638267468,0.8182780788813846
4,DDR5_16Gb_x8,64,deepseek_multicore,8,4.15632260855805,0.5194898227945057,5.315431400657847,0.8190393743174792
4,DDR5_16Gb_x8,32,astra_single_core,8,5.967744142512642,0.5081412150919516,5.672792058968202,0.832379024313458
4,DDR5_8Gb_x8,32,astra_multicore,8,5.985683289222828,0.5598243238980467,6.147030526750175,0.8331667194333708
