arm,interval,mean,median,n,oracle_relative_speedup,pattern,read_percent,standard_deviation
astra_multicore,4,4669659.89386056,4666395.080606417,5,61.0106498848391,streaming,75,21562.858306349204
deepseek_multicore,4,2742422.047223021,2743817.0661602123,5,35.873958265400994,streaming,75,4796.970274446836
fixedlat,4,3008847.256415713,3016365.8824933614,5,39.43739002001963,streaming,75,18628.905896501834
md1,4,6998056.245164465,7002313.56720353,5,91.55154976226207,streaming,75,35178.00486527454
wmg1,4,4370920.104817099,4371628.134804043,5,57.15672782780768,streaming,75,7284.016273921458
mess,4,4849302.357057382,4848625.852401759,5,63.39322093255347,streaming,75,7799.8486724859895
oracle,4,75992.55498851577,76034.05598761843,5,1.0,streaming,50,179.56489397922277
astra_single_core,4,4513453.006744769,4511172.0574466,5,59.330940574592134,streaming,50,10854.960455698649
deepseek_single_core,4,2376541.6976996013,2382022.478462012,5,31.32836263331666,streaming,50,11126.604374775729
astra_multicore,4,4475491.017435703,4480938.401704836,5,58.93330749624251,streaming,50,26881.166669586713
deepseek_multicore,4,2288901.801733997,2288031.742329289,5,30.092196353458743,streaming,50,4209.363683668065
fixedlat,4,4101543.4643286564,4102583.407848898,5,53.95718214107863,streaming,50,5311.693924269514
md1,4,8679935.25852827,8673851.872759562,5,114.07851074223942,streaming,50,27320.786386540916
wmg1,4,5206401.1638380755,5214520.399810253,5,68.5813788581711,streaming,50,19412.878515197564
mess,4,6307257.398316064,6315146.067989741,5,83.05680903065483,streaming,50,19477.188066875315
oracle,256,170144.4155009762,168156.09163679153,5,1.0,streaming,75,3202.1019520639907
astra_single_core,256,5968907.0502290595,5975358.167868376,5,35.53459235229396,streaming,75,17261.365421176873
deepseek_single_core,256,4424241.037624019,4426209.621454575,5,26.322029599825377,streaming,75,9919.531771710965
astra_multicore,256,5966634.345679696,5969414.570260502,5,35.49924663540664,streaming,75,7759.586872942907
deepseek_multicore,256,4154639.5164983026,4156077.7977998396,5,24.715594643914255,streaming,75,2735.8812881952294
fixedlat,256,10210076.437420668,10215627.084205007,5,60.75085942334003,streaming,75,19177.66444679523
md1,256,10195935.488356257,10205898.720020885,5,60.69300624603656,streaming,75,34918.629889387295
wmg1,256,6590024.591283178,6590135.067862858,5,39.19058182023646,streaming,75,28595.73143792259
mess,256,9629948.516517706,9630337.028532816,5,57.270223961519314,streaming,75,24451.027821047002
oracle,1,59078.81548718003,59286.78920964487,5,1.0,random,50,426.44879151542057
astra_single_core,1,4317334.2258280115,4317792.345657971,5,72.82891185740829,random,50,4502.436799589615
deepseek_single_core,1,2323950.955730028,2321312.402510044,5,39.15395712022147,random,50,5392.844806215392
astra_multicore,1,4267452.155626108,4274985.36958932,5,72.10687956928284,random,50,21364.058669215414
deepseek_multicore,1,2246961.139767324,2246430.1619990063,5,37.89090608458104,random,50,5679.404032660804
fixedlat,1,3489902.578085153,3484978.70118326,5,58.78170748731183,random,50,43227.24457533708
md1,1,8920533.346253252,8908195.744260566,5,150.25599906853054,random,50,29238.639324649972
wmg1,1,4781744.334825573,4783475.374871589,5,80.68366390962197,random,50,22154.26970445683
mess,1,5832736.826060144,5836428.188872381,5,98.44399176744254,random,50,14718.596349196023
oracle,4,59464.8525835059,59298.38995932028,5,1.0,random,50,751.850908176221
