case,arm,core_abs_pct,core_signed_pct,mae_L,drift_L,p99_L,p999_L,min_cycles,max_cycles,L,pairs,oracle_coverage,model_coverage
training-c1-arizona,astra_single_core,0.48511198309006837,0.48511198309006837,0.3744886181621113,0.14761808992822217,4.066452818627582,5.7512521426142795,-831,837,113.36661718740572,79706,0.9619009690694279,0.9619009690694279
training-c1-arizona,deepseek_single_core,3.6235194051595214,3.6235194051595214,0.41315223258646827,0.18849599750781632,3.4578080366638,5.795356836959481,-828,1150,113.36661718740572,79536,0.9598493899569168,0.9598493899569168
training-c1-arizona,fixedlat,11.77386116279744,-11.77386116279744,0.46808164738873276,-0.35497917268364737,4.154662207317984,6.221170018984802,-948,183,113.36661718740572,79728,0.9621664675428117,0.9621664675428117
training-c1-arizona,gemini_single_core,0.4708644510838746,0.4708644510838746,0.27340315564686707,0.030043989660113967,4.181125023925105,8.406354742195411,-799,1236,113.36661718740572,79860,0.9637594583831143,0.9637594583831143
training-c1-arizona,md1,12.533631867004338,-12.533631867004338,0.601982397537747,-0.5932414176427001,5.266100504817063,7.436051466600978,-1093,21,113.36661718740572,78326,0.945246973920809,0.945246973920809
training-c1-arizona,mess,8.748392770604479,8.748392770604479,0.5198147234783723,-0.01254056849637226,4.6750976005913625,6.8538695012443185,-1027,69,113.36661718740572,78379,0.9458865838794154,0.9458865838794154
training-c1-arizona,opus_single_core,0.02385925301073949,0.02385925301073949,0.15466274567127886,-0.0014118365256624592,4.339108039069648,6.506086344454829,-834,1206,113.36661718740572,79810,0.9631560527617875,0.9631560527617875
training-c1-arizona,wmg1,13.082902218607057,-13.082902218607057,0.608359156069225,-0.6080641783209219,5.267247226870079,7.444872405470019,-1095,4,113.36661718740572,78288,0.9447883856486007,0.9447883856486007
training-c1-bravo,astra_single_core,0.48720990154231436,-0.48720990154231436,0.10605528097185295,0.011161899517275455,1.1861478746536696,2.867130445481876,-1249,850,137.41962826312243,1031875,0.9077669219630551,0.9077876856703487
training-c1-bravo,deepseek_single_core,0.19927477017640588,-0.19927477017640588,0.10375352849245706,0.010461840853388325,1.164316932175381,1.988260363191965,-1177,800,137.41962826312243,1031775,0.9076789493964202,0.9076989125471874
training-c1-bravo,fixedlat,31.914749545341294,-31.914749545341294,0.3832627815469487,-0.3697149643432452,1.6373206858716296,2.605159135742415,-1210,160,137.41962826312243,1031288,0.9072505229969087,0.9073982013720675
training-c1-bravo,gemini_single_core,1.5330183476184907,1.5330183476184907,0.10296927445789983,0.035236209663092495,1.3171335295234,2.0884934970895896,-1164,1332,137.41962826312243,1031864,0.9077572449807252,0.9077764112417238
training-c1-bravo,md1,33.07791788148357,-33.07791788148357,0.6162273027653223,-0.6104491194879288,2.0011697271764364,3.0053930811777025,-1305,71,137.41962826312243,1030951,0.9069540554473493,0.9069947486818919
training-c1-bravo,mess,2.6047338082115994,-2.6047338082115994,0.2698973268835103,-0.18615024801327176,1.5863818200889568,2.5833281932641268,-1240,113,137.41962826312243,1030975,0.9069751688633416,0.9070525707337802
training-c1-bravo,opus_single_core,0.02279821779730069,-0.02279821779730069,0.05158272789509979,0.009571530618412595,0.4802807345223447,1.7022968476687161,-1199,1213,137.41962826312243,1032072,0.9079402279193256,0.9079609955907141
training-c1-bravo,wmg1,36.96252371442364,-36.96252371442364,0.6850580169496245,-0.6842409822058376,2.0884934970895896,3.08543987026476,-1308,75,137.41962826312243,1030936,0.906940859562354,0.9069161266031464
training-c1-cactu,astra_single_core,0.06657246102442087,0.06657246102442087,0.06450668474571712,0.02006437788822577,0.7710299020464224,1.3232059318966687,-212,292,134.88452227853847,52761,0.997825100234511,0.997825100234511
training-c1-cactu,deepseek_single_core,0.02571667820629939,-0.02571667820629939,0.052288563252506706,0.005237441834764369,0.7784436511045612,1.5198185569184288,-229,261,134.88452227853847,52761,0.997825100234511,0.997825100234511
training-c1-cactu,fixedlat,11.992082278748992,-11.992082278748992,0.5109531568835073,-0.5010722800895561,1.5939560474998156,2.1535754814044394,-438,106,134.88452227853847,52759,0.9977872758907633,0.9977872758907633
training-c1-cactu,gemini_single_core,0.14024994448487293,0.14024994448487293,0.05677199781966864,0.020961570658192517,0.7739954016696887,1.5272323059765676,-212,283,134.88452227853847,52761,0.997825100234511,0.997825100234511
training-c1-cactu,md1,13.440067574627104,-13.440067574627104,0.67426064154231,-0.6739689088235297,2.023953492871859,2.344197797187621,-475,4,134.88452227853847,52757,0.9977494515470157,0.9977494515470157
training-c1-cactu,mess,3.416030819196141,-3.416030819196141,0.2114846539744473,-0.18470235199935092,1.534646055034706,1.8549570830917625,-409,67,134.88452227853847,52756,0.9977305393751419,0.9977305393751419
training-c1-cactu,opus_single_core,0.07673881145539797,0.07673881145539797,0.044580995857328026,0.01142322415574731,0.7043061605231743,1.1906480987376542,-181,242,134.88452227853847,52761,0.997825100234511,0.997825100234511
training-c1-cactu,wmg1,13.550960754384324,-13.550960754384324,0.681420483902017,-0.681420483902017,2.0313672419299977,2.351478098762686,-476,0,134.88452227853847,52759,0.9977872758907633,0.9977872758907633
training-c1-charlie,astra_single_core,0.955352224083078,-0.955352224083078,0.47660280295908125,0.10591219187275275,3.8777367504338165,5.297167570447542,-1239,1019,156.27672505932864,105589,0.9564047752758102,0.9564134382840735
training-c1-charlie,deepseek_single_core,0.8929295629699949,-0.8929295629699949,0.46102126554978373,-0.012741495191093334,3.2058516699131054,4.900179471442681,-1368,559,156.27672505932864,105217,0.9530352711001612,0.9530439035878299
training-c1-charlie,fixedlat,26.381417167443058,-26.381417167443058,0.6491264340279126,-0.57888734992041,4.19768202687225,5.92289734538913,-1592,197,156.27672505932864,105390,0.9546022716979765,0.9546022716979765
training-c1-charlie,gemini_single_core,0.6528294271585295,0.6528294271585295,0.3893552364780092,-0.04106888774958189,3.85854003384751,6.014734437538197,-1271,1160,156.27672505932864,105680,0.9572290357058749,0.9572290357058749
training-c1-charlie,md1,26.7490836132728,-26.7490836132728,0.7046641344520148,-0.6989142511390268,5.023140840083409,6.649627445197079,-1567,47,156.27672505932864,104410,0.9457256209126647,0.9457341871903334
training-c1-charlie,mess,5.9559783973468425,-5.9559783973468425,0.4896615635293002,-0.2678365105769355,4.616490393730141,6.245331796078226,-1521,79,156.27672505932864,104556,0.9470480607235376,0.9470566389797194
training-c1-charlie,opus_single_core,0.15110350330422656,-0.15110350330422656,0.2094301516097577,-0.007467435037866337,4.415244814850385,5.874195275409643,-1516,1092,156.27672505932864,105853,0.9587960363036901,0.9587960363036901
training-c1-charlie,wmg1,27.615863142533257,-27.615863142533257,0.7209676035728437,-0.7204622703896435,5.042337556669715,6.684194332863406,-1580,59,156.27672505932864,104417,0.9457890255611311,0.9457890255611311
training-c1-gap_bfs,astra_single_core,0.1262599769885066,-0.1262599769885066,0.128893258938801,0.00992431465286044,1.681333785923809,4.14575454063405,-740,554,86.83582119286342,349516,0.9947150179438944,0.9947150179438944
training-c1-gap_bfs,deepseek_single_core,2.7167559945285187,-2.7167559945285187,0.13832871730427773,-0.04522672475468788,1.7619456797694713,3.7542110562408344,-806,512,86.83582119286342,349435,0.9944844936861967,0.9944844936861967
training-c1-gap_bfs,fixedlat,27.38876460817371,-27.38876460817371,0.4833985231930216,-0.4763319702763947,2.4183568153698625,5.078549312276711,-1037,197,86.83582119286342,349481,0.994615408696741,0.994615408696741
training-c1-gap_bfs,gemini_single_core,0.08579010103385012,0.08579010103385012,0.0856864944964567,-0.004434237986702181,2.072877270317025,4.508197131349631,-863,336,86.83582119286342,349528,0.9947491696857755,0.9947491696857755
training-c1-gap_bfs,md1,26.675964486534138,-26.675964486534138,0.5019486669582577,-0.4636497852748286,2.406840830534768,6.801202451789382,-1197,335,86.83582119286342,349413,0.9944218821594146,0.9944218821594146
training-c1-gap_bfs,mess,15.373910899014724,15.373910899014724,0.7607197789966789,0.2813890956576327,1.6467858314185255,6.402887568312589,-1163,77,86.83582119286342,349405,0.9943991143314939,0.9943991143314939
training-c1-gap_bfs,opus_single_core,0.21554232939202347,0.21554232939202347,0.06594689828613581,0.012995982645829116,1.3934341650464446,5.631316584361251,-1101,860,86.83582119286342,349534,0.9947662455567161,0.9947662455567161
training-c1-gap_bfs,wmg1,27.933390550686365,-27.933390550686365,0.50295468808397,-0.49547196582212916,2.429872800204957,7.0362667342427905,-1218,357,86.83582119286342,349423,0.9944503419443156,0.9944503419443156
training-c1-gap_sssp,astra_single_core,1.5477966018011997,-1.5477966018011997,0.2875681837009698,0.04990286007011878,4.365972528214443,7.962403135988212,-1585,1410,127.34848797305372,375729,0.9933771157537398,0.9933771157537398
training-c1-gap_sssp,deepseek_single_core,0.8985661626736687,-0.8985661626736687,0.24543400871147064,-0.03905008956889316,2.159428858379446,8.59774636846658,-1596,1121,127.34848797305372,373546,0.9876055563487154,0.9876055563487154
training-c1-gap_sssp,fixedlat,42.676959759327026,-42.676959759327026,0.644807144081781,-0.615975830842102,1.8453301153424355,9.328732668199207,-1640,168,127.34848797305372,375594,0.9930201938482527,0.9930228192674886
training-c1-gap_sssp,gemini_single_core,1.9450558709092338,-1.9450558709092338,0.2120438339273541,-0.04572525083150194,2.313886915267768,9.430814759686236,-1648,1484,127.34848797305372,375834,0.9936547216802297,0.9936547216802297
