cache_write_1h_tokens,cache_write_1h_tokens_unknown_records,cache_write_5m_tokens,cache_write_5m_tokens_unknown_records,cache_write_input_tokens,cache_write_input_tokens_unknown_records,cached_input_tokens,cached_input_tokens_unknown_records,campaign,campaign_cost_upper_usd,cli_invocations,cost_scope,cumulative_campaign_cost_upper_usd,cumulative_observed_cost_lower_usd,cumulative_observed_cost_upper_usd,cumulative_unknown_usage_records,failed_attempt_records,input_partition_unknown_records,input_tokens,input_tokens_unknown_records,non_reasoning_output_tokens,non_reasoning_output_tokens_unknown_records,observed_cost_lower_usd,observed_cost_upper_usd,output_tokens,output_tokens_unknown_records,provider_requests,provider_requests_with_usage,reasoning_output_tokens,reasoning_output_tokens_unknown_records,reasoning_unknown_records,records,round,successful_attempt_records,tool_input_tokens,tool_input_tokens_unknown_records,total_tokens,total_tokens_unknown_records,uncached_input_tokens,uncached_input_tokens_unknown_records,unknown_usage_records
,223,,223,0,0,54150183,7,gemini,6.624256,0,recorded invocation coverage,32.489671,23.597204,32.489671,0,0,7,56578025,0,62647,0,5.761401,6.624256,197868,0,223,223,135221,0,0,223,4,223,0,0,56775893,0,1149859,7,0
,180,,180,0,0,38295625,5,gemini,5.248792,0,recorded invocation coverage,37.738463,28.080726,37.738463,0,0,5,40377268,0,86925,0,4.483522,5.248792,217413,0,180,180,130488,0,0,180,5,180,0,0,40594681,0,948169,5,0
,244,,244,0,0,92519930,8,gemini,11.34789,0,recorded invocation coverage,49.086353,37.278556,49.086353,0,0,8,97076813,0,89380,0,9.19783,11.34789,264296,0,244,244,174916,0,0,244,6,244,0,0,97341109,0,1371957,8,0
,186,,186,0,0,66614346,5,gemini,7.988571,0,recorded invocation coverage,57.074924,43.926034,57.074924,0,0,5,69752241,0,48089,0,6.647478,7.988571,170396,0,186,186,122307,0,0,186,7,186,0,0,69922637,0,1151359,5,0
,196,,196,0,0,50221889,7,gemini,6.363875,0,recorded invocation coverage,63.438799,49.350878,63.438799,0,0,7,52963314,0,53363,0,5.424844,6.363875,144286,0,196,196,90923,0,0,196,8,196,0,0,53107600,0,1350548,7,0
,143,,143,0,0,35706264,3,gemini,4.279232,0,recorded invocation coverage,67.718031,53.209165,67.718031,0,0,3,37162306,0,40346,0,3.858287,4.279232,135776,0,143,143,95430,0,0,143,9,143,0,0,37298082,0,832626,3,0
,153,,153,0,0,43359108,5,gemini,5.619563,0,recorded invocation coverage,73.337594,57.849593,73.337594,0,1,5,45728079,0,41273,0,4.640428,5.619563,157553,0,153,153,116280,0,0,153,10,152,0,0,45885632,0,918620,5,0
1353319.0,0,0.0,0,1353319,0,29773295,0,opus,24.628517,3,recorded invocation coverage,24.628517,24.628514,24.628517,0,0,0,31127230,0,133204,0,24.628514,24.628517,392242,0,0,0,259038,0,0,3,1,3,0,0,31519472,0,616,0,0
784036.0,0,0.0,0,784036,0,18067464,0,opus,14.565594,3,recorded invocation coverage,39.194111,39.194105,39.194111,0,0,0,18851888,0,95381,0,14.565591,14.565594,233913,0,0,0,138532,0,0,3,2,3,0,0,19085801,0,388,0,0
959211.0,0,0.0,0,959211,0,19790299,0,opus,15.645884,3,recorded invocation coverage,54.839995,54.839988,54.839995,0,0,0,20749874,0,61806,0,15.645883,15.645884,200634,0,0,0,138828,0,0,3,3,3,0,0,20950508,0,364,0,0
903262.0,0,0.0,0,903262,0,16530150,0,opus,15.048327,3,recorded invocation coverage,69.888322,69.888312,69.888322,0,0,0,17433722,0,92360,0,15.048324,15.048327,225748,0,0,0,133388,0,0,3,4,3,0,0,17659470,0,310,0,0
1392528.0,0,0.0,0,1392528,0,24607538,0,opus,22.863144,3,recorded invocation coverage,92.751466,92.751455,92.751466,0,0,0,26000544,0,96700,0,22.863143,22.863144,339975,0,0,0,243275,0,0,3,5,3,0,0,26340519,0,478,0,0
1162792.0,0,0.0,0,1162792,0,24186712,0,opus,23.78286,3,recorded invocation coverage,116.534326,116.534312,116.534326,0,0,0,25350064,0,232927,0,23.782857,23.78286,482047,0,0,0,249120,0,0,3,6,3,0,0,25832111,0,560,0,0
1298609.0,0,0.0,0,1298609,0,28347367,0,opus,23.373706,3,recorded invocation coverage,139.908032,139.908017,139.908032,0,0,0,29646506,0,116001,0,23.373705,23.373706,365662,0,0,0,249661,0,0,3,7,3,0,0,30012168,0,530,0,0
1899204.0,0,0.0,0,1899204,0,37242790,0,opus,33.315995,3,recorded invocation coverage,173.224027,173.224009,173.224027,0,0,0,39142760,0,189811,0,33.315992,33.315995,533537,0,0,0,343726,0,0,3,8,3,0,0,39676297,0,766,0,0
1325377.0,0,0.0,0,1325377,0,25253895,0,opus,23.202053,3,recorded invocation coverage,196.42608,196.426059,196.42608,0,0,0,26579816,0,121919,0,23.20205,23.202053,377304,0,0,0,255385,0,0,3,9,3,0,0,26957120,0,544,0,0
763059.0,0,0.0,0,763059,0,17173403,0,opus,13.44077,3,recorded invocation coverage,209.86685,209.866827,209.86685,0,0,0,17936796,0,93310,0,13.440768,13.44077,195014,0,0,0,101704,0,0,3,10,3,0,0,18131810,0,334,0,0
