campaign,core_abs_pct,cores,kind,mae_L,promoted,round,split,stage
opus,24.90287930451552,1,retained,0.5308634367491337,,0,validation,single_core
opus,0.5417896032120282,1,submitted,0.10205179709993491,True,1,training,single_core
opus,0.8536705882450429,1,submitted,0.09336526669017942,True,1,validation,single_core
opus,0.5417896032120282,1,retained,0.10205179709993491,True,1,training,single_core
opus,0.8536705882450429,1,retained,0.09336526669017942,True,1,validation,single_core
opus,0.22934972995986125,1,submitted,0.09459612918085462,True,2,training,single_core
opus,0.6996000058388329,1,submitted,0.06353971242561524,True,2,validation,single_core
opus,0.22934972995986125,1,retained,0.09459612918085462,True,2,training,single_core
opus,0.6996000058388329,1,retained,0.06353971242561524,True,2,validation,single_core
opus,0.2181903982038938,1,submitted,0.09080126023383929,True,3,training,single_core
opus,0.7092319934191392,1,submitted,0.06009892945536892,True,3,validation,single_core
opus,0.2181903982038938,1,retained,0.09080126023383929,True,3,training,single_core
opus,0.7092319934191392,1,retained,0.06009892945536892,True,3,validation,single_core
opus,0.16853979666751548,1,submitted,0.08909215654156499,True,4,training,single_core
opus,0.4504072662281087,1,submitted,0.05757618508074539,True,4,validation,single_core
opus,0.16853979666751548,1,retained,0.08909215654156499,True,4,training,single_core
opus,0.4504072662281087,1,retained,0.05757618508074539,True,4,validation,single_core
opus,0.10139796587424679,1,submitted,0.09042579941041173,False,5,training,single_core
opus,0.4504238153112659,1,submitted,0.05761257987205746,False,5,validation,single_core
opus,0.16853979666751548,1,retained,0.08909215654156499,False,5,training,single_core
opus,0.4504072662281087,1,retained,0.05757618508074539,False,5,validation,single_core
opus,0.11643064450415537,1,submitted,0.08630321909804003,True,6,training,single_core
opus,0.4577355119777936,1,submitted,0.057070936248347734,True,6,validation,single_core
opus,0.11643064450415537,1,retained,0.08630321909804003,True,6,training,single_core
opus,0.4577355119777936,1,retained,0.057070936248347734,True,6,validation,single_core
opus,0.0965054287489916,1,submitted,0.08484131341166963,True,7,training,single_core
opus,0.45791944414977054,1,submitted,0.057114588034070726,True,7,validation,single_core
opus,0.0965054287489916,1,retained,0.08484131341166963,True,7,training,single_core
opus,0.45791944414977054,1,retained,0.057114588034070726,True,7,validation,single_core
opus,0.09655994402229584,1,submitted,0.08479177553308484,False,8,training,single_core
opus,0.45791944414977054,1,submitted,0.057114588034070726,False,8,validation,single_core
opus,0.0965054287489916,1,retained,0.08484131341166963,False,8,training,single_core
opus,0.45791944414977054,1,retained,0.057114588034070726,False,8,validation,single_core
opus,0.1088343268113052,1,submitted,0.08370597685157255,False,9,training,single_core
opus,0.4614028761921238,1,submitted,0.05508670513506632,False,9,validation,single_core
opus,0.0965054287489916,1,retained,0.08484131341166963,False,9,training,single_core
opus,0.45791944414977054,1,retained,0.057114588034070726,False,9,validation,single_core
opus,0.08601883148261853,1,submitted,0.08468621612080451,True,10,training,single_core
opus,0.4459755899246149,1,submitted,0.05520547197421257,True,10,validation,single_core
opus,0.08601883148261853,1,retained,0.08468621612080451,True,10,training,single_core
opus,0.4459755899246149,1,retained,0.05520547197421257,True,10,validation,single_core
gemini,23.669059815495295,1,retained,0.5425008952265906,,0,training,single_core
gemini,24.90287930451552,1,retained,0.5308634367491337,,0,validation,single_core
gemini,9.876718412467525,1,submitted,0.23282249952300685,True,1,training,single_core
gemini,12.448331203915671,1,submitted,0.25059071953940293,True,1,validation,single_core
gemini,9.876718412467525,1,retained,0.23282249952300685,True,1,training,single_core
gemini,12.448331203915671,1,retained,0.25059071953940293,True,1,validation,single_core
gemini,8.438465244003671,1,submitted,0.23072956514505746,True,2,training,single_core
gemini,11.281327785070937,1,submitted,0.24984521928226994,True,2,validation,single_core
gemini,8.438465244003671,1,retained,0.23072956514505746,True,2,training,single_core
gemini,11.281327785070937,1,retained,0.24984521928226994,True,2,validation,single_core
gemini,2.2484571106629065,1,submitted,0.18836720140910673,True,3,training,single_core
gemini,2.5718954360225803,1,submitted,0.1774906943638888,True,3,validation,single_core
gemini,2.2484571106629065,1,retained,0.18836720140910673,True,3,training,single_core
gemini,2.5718954360225803,1,retained,0.1774906943638888,True,3,validation,single_core
gemini,2.2699425272793308,1,submitted,0.18827133721001224,False,4,training,single_core
gemini,2.581354348139015,1,submitted,0.1774714333649647,False,4,validation,single_core
gemini,2.2484571106629065,1,retained,0.18836720140910673,False,4,training,single_core
gemini,2.5718954360225803,1,retained,0.1774906943638888,False,4,validation,single_core
gemini,2.229320641464393,1,submitted,0.18836507694801088,True,5,training,single_core
gemini,2.5664156930018285,1,submitted,0.17737199647929194,True,5,validation,single_core
gemini,2.229320641464393,1,retained,0.18836507694801088,True,5,training,single_core
gemini,2.5664156930018285,1,retained,0.17737199647929194,True,5,validation,single_core
