model,cases,core_cycle_error_pct,MAE_Req,oracle_pairing_coverage
Queued FixedLat,24,23.880890545344517,0.5161690823006163,0.9315075001297867
M/D/1,24,22.701249187605146,0.5305166665573668,0.9255488223564022
WMG1,24,24.4379080476504,0.5569291711366561,0.9250946475806524
MeSS,24,8.566498271889259,0.4756378677619062,0.9254047985481592
GPT-6 Astra,24,1.5395424307536392,0.20097161117230208,0.9387580914046337
DeepSeek V4.1 Flash,24,0.6788657490402975,0.19666880257128716,0.9374369136601932
Gemini 3.8 Flash,24,2.2516685892387738,0.20682169853822643,0.9389334866956155
Opus 5.5,24,0.15158665570730562,0.06276126084498623,0.9401473271020856
