model,workload,core_error_pct,signed_core_error_pct,request_mae_over_L,absolute_drift_over_L,paired_p99_over_L,min_signed_error_cycles,max_signed_error_cycles,oracle_mean_latency_cycles_L,matched_reads,recorded_oracle_reads,recorded_model_reads,oracle_pair_coverage,model_pair_coverage
astra_xhigh,bark,1.0502839863461868,1.0502839863461868,0.1474550679137549,0.037665317286931024,1.8930822413803896,-373,314,88.21592445884848,124665,124965,124965,0.9975993278117873,0.9975993278117873
astra_xhigh,biogpt,0.4620299776600255,0.4620299776600255,0.019218592117956814,0.008100535499014901,0.27061900377395365,-990,381,92.38079976409323,2882713,2889277,2889281,0.997728151367972,0.9977267700857064
astra_xhigh,cam4,0.8918661589175578,-0.8918661589175578,0.5246389085862828,0.0930721623988585,1.5724777801599223,-1212,1503,390.2249098474341,17839,18025,18025,0.9896809986130375,0.9896809986130375
astra_xhigh,gap_bc,0.7797498308837281,-0.7797498308837281,0.30362252836639714,0.0011310482133936688,3.6704533546500686,-2067,4766,141.6718725879505,909143,913383,913385,0.9953579166680352,0.9953557371754518
astra_xhigh,gcc,0.20376815873704218,-0.20376815873704218,0.006897112475496336,0.004601652854371833,0.020824868672540842,-195,119,48.01951050565689,162973,164578,164578,0.9902477852446864,0.9902477852446864
astra_xhigh,ligra_cf,6.413109114703331,-6.413109114703331,0.22099059385478398,0.020828855309882266,1.4557239835198603,-829,488,124.33675755094175,312471,332144,332140,0.9407696661688906,0.9407809959655566
astra_xhigh,ligra_radii,0.000562603323104937,0.000562603323104937,0.0009866700742899553,0.0003160745273577789,0.022369943625115688,-98,179,44.70283952245894,60512,60644,60644,0.997823362575028,0.997823362575028
astra_xhigh,pop2,1.142856949260038,-1.142856949260038,0.2830858325555935,0.03680972171068777,2.3998219052760326,-310,441,88.75658628322266,59587,60087,60079,0.9916787325045351,0.9918107824697482
astra_xhigh,sierra_a_3_0001,0.5607886229563194,0.5607886229563194,0.2409159009254182,0.05577567138537866,1.9138157247458627,-712,1559,110.77346541718465,158844,179381,179393,0.88551184350628,0.8854526096335977
astra_xhigh,sierra_a_3_0006,0.7556468676539054,0.7556468676539054,0.31270214665314344,0.05139451770828489,3.232812281647061,-1815,1563,123.11262310511455,171389,190183,190158,0.9011793903766372,0.9012978680886421
astra_xhigh,sierra_a_4_0005,0.1365218301545376,0.1365218301545376,0.2408905624632639,0.02789918042198993,1.9278516219892308,-1136,1603,108.92954499439848,322858,370435,370409,0.8715645119926573,0.8716256894405914
astra_xhigh,sierra_a_4_0006,0.28231163238031287,0.28231163238031287,0.1406867096894717,0.0128904539545005,1.8807317234199943,-855,1153,106.34158902595229,341262,376306,376294,0.9068736613288122,0.9069025814921311
astra_xhigh,sierra_a_4_0013,0.25943887401487925,0.25943887401487925,0.035866269407092595,0.011175129751090652,0.6832322015168596,-219,377,98.06329363758287,410003,420532,420532,0.9749626663369256,0.9749626663369256
astra_xhigh,sierra_a_6_0001,1.392769269933302,1.392769269933302,0.29358865566905823,0.08813016524459458,2.7511908323018717,-1751,1804,118.85762200159886,196104,223911,224271,0.8758122646944545,0.874406410102064
astra_xhigh,sierra_a_6_0006,1.421960069849645,1.421960069849645,0.2844167769556877,0.08712218026560917,2.351152031735924,-1363,2282,119.94120167201233,152167,172726,172719,0.8809733334877204,0.8810090378012841
astra_xhigh,sierra_a_6_0011,0.9287391796379972,0.9287391796379972,0.2567075337240696,0.04551411856352873,2.2183905374966497,-731,2036,118.55441841939303,249601,271149,271182,0.9205307782805764,0.9204187593571844
astra_xhigh,tahoe_0006,0.1913873880806048,-0.1913873880806048,0.2586423056726419,0.04276606201317828,1.9846042770008954,-1165,1993,106.8223032958345,218022,242852,242830,0.897756658376295,0.8978379936581148
astra_xhigh,tahoe_0010,0.955252135245195,0.955252135245195,0.2911474999559203,0.049990450181098864,2.0444463332408094,-1431,1168,102.71729640714649,277105,306052,306049,0.9054180335367846,0.9054269087629758
astra_xhigh,tahoe_0011,0.7355914616677707,0.7355914616677707,0.2944054713633659,0.04955995797315003,1.9867280425759646,-681,1183,106.20477261015567,157360,176591,176551,0.8910986403610603,0.8913005307248331
astra_xhigh,tahoe_0013,0.0710031460075843,-0.0710031460075843,0.24580316843267377,0.030500646777988537,1.9788284046302433,-837,2951,106.12340085104036,259348,289998,289930,0.8943096159283858,0.8945193667436968
astra_xhigh,tahoe_0014,0.13686868422684811,0.13686868422684811,0.2632516477029293,0.023728086344297326,2.108864116775453,-415,1215,98.15710664019083,147581,160146,160143,0.9215403444357024,0.9215576078879502
astra_xhigh,tahoe_0016,0.9514604407317828,0.9514604407317828,0.28780879696074535,0.054657813701579724,1.9066605069671585,-1387,1768,111.18917039783823,180126,202796,202899,0.8882127852620367,0.8877618913843833
astra_xhigh,tahoe_0023,0.13497555567410913,-0.13497555567410913,0.23097841680635528,0.017782092225483444,2.1009184794791316,-694,1157,100.43226429819019,122786,134545,134512,0.9126017317626073,0.912825621505888
astra_xhigh,tahoe_0035,0.7932952743573156,0.7932952743573156,0.2866278798473583,0.05982623379601926,2.0609522479284044,-1400,2544,118.23175439649904,251034,283123,283206,0.8866605680216726,0.8864007118493252
astra_xhigh,xalancbmk,0.03701501052982744,0.03701501052982744,0.02806052030293558,0.009130987822048171,0.49304029502244323,-179,181,97.35512590875567,18649,18982,18982,0.9824570645875039,0.9824570645875039
